time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Volume,RSI,Regular Bullish Label,Regular Bearish Label
1736636400,94685.62419072114,94696,94570.54,94615.9325,94424.15784558872,94384.46089892973,94498.80937809464,94913.58046063998,95448.87695712969,95879.08544801502,96265.22370582649,96393.59888520776,94429.98055927333,94385.66080474999,94469.75923917915,94851.53221756837,95388.95453913648,95832.60154495238,96220.88100409695,96421.0300777282,69.88693,55.47912201376163,NaN,NaN
1736637300,94650.77834536057,94705,94567.41,94638.31250000001,94428.91683790897,94387.9623003238,94500.0017124699,94912.12401640379,95446.22371831747,95876.57376188543,96263.1875215889,96392.24082997743,94434.88248729044,94389.34915066605,94471.28460805536,94850.3377093467,95386.35266031798,95830.04143981851,96218.78349779597,96419.56943243714,37.94029,56.67985095300774,NaN,NaN
1736638200,94644.5454226803,94753.37,94640.28,94677.845,94434.44857484433,94391.9606823883,94501.52174056844,94910.88444488842,95443.70856703001,95874.14718544437,96261.20336323898,96390.9144115403,94440.59925229537,94393.5607689045,94473.15393286933,94849.37136363608,95383.8968278732,95827.57156534944,96216.74116711633,96418.14237431962,48.66524,58.79393052033788,NaN,NaN
1736639100,94661.19521134015,94661.19521134015,94541.66,94607.31,94438.28993984779,94394.93101780362,94502.42591372598,94909.2782308943,95440.97076484661,95871.58273770055,96259.13340909225,96389.53444681184,94444.52185812371,94396.68119563581,94474.36801492481,94848.01527756528,95381.20501911108,95824.95578493069,96214.6080575509,96416.6586935541,75.34476,53.75344083547302,NaN,NaN
1736640000,94634.25260567007,94655.22,94546.62,94605.39,94442.00327451783,94397.83390031668,94503.3059486514,94907.67035665676,95438.23563959343,95869.01959450683,96257.0636426228,96388.15406426112,94448.30699087374,94399.72803949515,94475.55373424676,94846.65603231282,95378.51588559596,95822.34149600264,96212.47523043684,96415.17465529637,71.30699,53.61868807815412,NaN,NaN
1736640900,94619.82130283504,94623.69,94500.56,94565.1425,94444.73970175078,94400.1416051399,94503.83446618429,94905.85803995487,95435.37772424288,95866.38016719001,96254.94609425907,96386.74361043965,94451.0560616767,94402.14284913756,94476.36449230787,94845.07892568922,95375.6965671017,95819.64653566823,96210.29188685774,96413.65885672587,80.256,50.74683188235422,NaN,NaN
1736641800,94592.48190141752,94592.48190141752,94471.11,94522.0075,94446.4567639341,94401.82251403452,94503.98979125964,94903.827084717,95432.38796900804,95863.65876502972,96252.77720991081,96385.30087457084,94452.72550728431,94403.89269805525,94476.77755120101,94843.26900173578,95372.73750621053,95816.8648871459,96208.05426672936,96412.1089580313,104.8793,47.79235552826597,NaN,NaN
1736642700,94557.24470070876,94557.24470070876,94422.13,94485.7875,94447.33078029111,94402.98065177197,94503.83421612067,94901.61523506242,95429.28944046791,95860.86955194261,96250.56570839653,96383.83123172785,94453.50343652468,94405.08824260918,94476.85908919919,94841.26630424707,95369.66315610234,95814.01155941354,96205.77160699878,96410.5306528629,64.31355,45.402065906974315,NaN,NaN
1736643600,94521.51610035438,94521.51610035438,94384.78,94431.0175,94446.96826295131,94403.36736691995,94503.21185102563,94899.12529995627,95426.02177454166,95857.9751145905,96248.2884265337,96382.3203506975,94452.97435566528,94405.46677191416,94476.44423318833,94838.96799161824,95366.40961829956,95811.04694192283,96203.41938154219,96408.90876580607,63.18032,41.982730166612654,NaN,NaN
1736644500,94476.2668001772,94476.2668001772,94296.99,94370.50249999999,94445.26902377461,94402.91405841071,94502.07758306814,94896.32835392475,95422.56671963318,95854.96403642332,96245.93825641289,96380.76381851127,94451.03384141433,94404.95634458694,94475.48548447169,94836.34353508256,95362.95760055848,95807.9589581245,96200.99006824657,96407.23862548178,86.52198,38.5299454170966,NaN,NaN
1736645400,94423.38465008858,94490.98,94350.17,94404.88249999999,94444.37154546852,94402.94120932918,94501.24685586242,94893.72811131139,95419.23551105827,95852.02864869777,96243.63405646745,96379.23509021843,94449.9479274987,94404.95526656377,94474.84654343575,94833.92638642664,95359.63671632778,95804.9512915476,96198.60954131714,96405.59802234743,67.93145,41.474834846583065,NaN,NaN
